id,age,education,education_coarse,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro
__YeiBP5jIEnzzrRMm0t4dXrP1p8PNO_5KlpXiotiuQRV9b9c_EdUJT9VOOvyd77,28,Secondary school/GCSE,Secondary school/GCSE or less,inoculation,2.875,0.32596343905583886,intr,0.17403656094416114,-0.07596343905583886,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
_2COfy7IE9lUMVbTWB38Goxk32w2Om28ZWv9b8Ru_Ye52ZSTn_bBaW4th5UOrla4,30,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,4.25,0.859433530548471,extr,0.35943353054847105,0.10943353054847105,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,38,College/A levels,College,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,25,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128
_KuvPMwtRxK0PrtG50V7jSbBHfELrDo3-JNrdarJOAAhVM1yvGov8H6uLQwqOXT1,27,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.25,0.1288449392134522,intr,0.3711550607865478,0.12115506078654781,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,32,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076
_Zoef_nVqwmlfeBm3S9NwrGZAK8Qt9Yu68pRhLaotbTqm5NdlHdCxP3kcWBPraSc,19,College/A levels,College,control,2.375,0.16547000377783586,intr,0.33452999622216417,0.08452999622216417,4.777777777777778,0.9751497280293825,affine,0.4751497280293825
-0jgrRo6IkqwoJA1hzjhPCgXBjkvUWsWljgSk5831EHtJS_EYAY8eKzmhdRssfj2,29,Secondary school/GCSE,Secondary school/GCSE or less,inoculation,2.375,0.1573293969362782,intr,0.34267060306372177,0.09267060306372177,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128
-1V8fqedaYFjxgoYmKdZkFuC_i8S57sQ6yPzM2YELJUz3P34Zrk0hFtnXSoNNvf8,26,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,1.875,0.05740661294624746,intr,0.44259338705375256,0.19259338705375256,3.2222222222222223,0.5610952969881974,affine,0.06109529698819738
-dL8CrZbKZz15XONA2HBgk_XfRiLYpVQc7N1Q2NB9jlWpLJPQGWZxPLGiJYM0OiS,37,Secondary school/GCSE,Secondary school/GCSE or less,control,3.625,0.6542200793245094,extr,0.15422007932450943,-0.09577992067549057,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
-ui9DsWwCqoC8qH13X8gmOGm_cf5WNYiYTYVVXbjyZeuU5Fqa3yzh0IvlDd1k1re,25,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,4.25,0.849190336630878,extr,0.34919033663087795,0.09919033663087795,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
-W4eudI1x-aQA5X1cEhJ302OfwPeTBSn0AbCaZOlFnaQUS1KtespdfhI8RlOrRaY,37,College/A levels,College,control,2.125,0.10865816733284132,intr,0.39134183266715866,0.14134183266715866,3.888888888888889,0.8235400564360852,affine,0.3235400564360852
0CopV189fKwY44bDOKUq3Tq2ukQleTR866ra1pkgMgO26J6T-uhL4nEEht-cZLQj,22,College/A levels,College,control,2.625,0.23777341932775467,intr,0.26222658067224536,0.012226580672245357,2.4444444444444446,0.22643286628317424,non-affine,0.27356713371682573
0ln5vcSeZ1jNSbdz9oujwJjMNfT2Rk1Ts4WMvAceKYCI-5qpKyPIhOUgO21fS_zb,28,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.875,0.32596343905583886,intr,0.17403656094416114,-0.07596343905583886,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
1_7Z3QryGZGWH-zOv_VyUuXEm913KhTtKxesdlGcccYiuGMr-pFz2rf4s8QheyUY,30,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3,0.37785807728839665,intr,0.12214192271160335,-0.12785807728839665,4.222222222222222,0.9060031443079403,affine,0.40600314430794027
18SJzbKQpFBnPqP8NBToHQWp4ta8DS542RXSqivwjlLFAwoTtqt2M_qI14-2u2VS,34,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3.75,0.6895670996736981,extr,0.18956709967369811,-0.060432900326301886,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
2bPUHEOWTWQwxa27k0pS7bUkEZedBY3XzDp4OcRNsGtxjpQvH4G0Z5-9NJZY8wK2,37,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3,0.3887384069005967,intr,0.11126159309940331,-0.1387384069005967,2.4444444444444446,0.22643286628317424,non-affine,0.27356713371682573
2Eb82W_IInqJVyMz8WsFdWAvI55EzIG60gZJ7Cy5De-sCVocWcZtgV1BGg5Kt_Po,30,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.375,0.15731470622550509,intr,0.3426852937744949,0.09268529377449491,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
2GpRjS4brzedGM5lBXoTKU2P_fceZTcnkuz8tUiuroBeDWg6BPtOm6N3W0CQswIP,35,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.25,0.1265489544735578,intr,0.3734510455264422,0.1234510455264422,2.3333333333333335,0.18947165205564176,non-affine,0.31052834794435824
2InouXP4YkiIXhY8q9wrlbfe1Z17RcGR-uo5JJd8_zEPfXNMbwm2e_XLWl-GoVFR,26,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,1,0.005567052022864923,intr,0.49443294797713505,0.24443294797713505,4.888888888888889,0.9817687190238286,affine,0.48176871902382856
2SrGgXjb1fgTvowfwL6XeaeJRJS9F_mRjATn-OJmzwOeXQmoAMk5oA0Pe6_f7rsv,23,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.25,0.11904480172175477,intr,0.3809551982782452,0.1309551982782452,4.111111111111111,0.8824529363865857,affine,0.38245293638658573
2zBiyhcN5AAs4WlNCXEQGTd6owOom_ltHnU4MnFNHumri7AGEVCkyNCPQ3UEHH4b,25,College/A levels,College,control,4.375,0.8790658369213811,extr,0.37906583692138107,0.12906583692138107,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
3EiTdTjYJvUhP-so6CnrSevsxjTCT-GwKZhqpnOlvjNvJPboTu-KgYSQj5jRiRsz,25,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,5,0.9683545838833273,extr,0.4683545838833273,0.2183545838833273,4.333333333333333,0.9258744294380646,affine,0.42587442943806464
3m3pbeqfW-RPZJkMdVU6PrezYvo0MWzAfQu80TfMVo1BvkfcFFpWo8gacPdOYJC6,26,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,2.75,0.26915037450936147,intr,0.23084962549063853,-0.019150374509361467,3.5555555555555554,0.7058646369425364,affine,0.20586463694253643
3nmE-CcfIbTt2-JUz0NEuuOgHZ5O9g-tiy4bFn_AYzVVXJoaD7u4sUwAV6qKiUNW,39,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3.125,0.45407013632871635,intr,0.045929863671283655,-0.20407013632871635,3.7777777777777777,0.7880697379814923,affine,0.28806973798149227
3XdSzVhHKe8HuLwNgS_-WJ155Xgjulfx-K8dHqEUUO_tEbUEMnh0wIje-JVAcxIx,26,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.5,0.18670344146872814,intr,0.31329655853127186,0.06329655853127186,2.3333333333333335,0.18947165205564176,non-affine,0.31052834794435824
3Yx-R4tlWX1Ad7u570emojQ2o0u34qQUis1liwUGCqhABzIjQwTJEvB3XwqVsyR9,32,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,3.625,0.6550078620232191,extr,0.15500786202321915,-0.09499213797678085,3.6666666666666665,0.7487440315963316,affine,0.24874403159633163
4Qvq6fNX6eAUChlesnHj7QTC7VY-wZfhu2JlBIWFXpURjAipJeyOs_MUGzvD2SHv,21,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,4.375,0.8943502263331448,extr,0.39435022633314476,0.14435022633314476,4.666666666666667,0.9666234924151828,affine,0.46662349241518275
4qyxc9Hj4rDKVWq_YjVVT57ZrP6KVmoV0St4qmLHY5Rqx914mikkva1JTz4nFyP_,21,College/A levels,College,control,2.5,0.20232838096364308,intr,0.2976716190363569,0.047671619036356916,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
4rKlbPc2HutPdoiXXyj7vvrURYVaFGhg8OZAkeIQf0VBCGngWc4Qsi05mZUNH8SK,25,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,3.375,0.5284716645164785,extr,0.028471664516478534,-0.22152833548352147,3.5555555555555554,0.7058646369425364,affine,0.20586463694253643
